Crop,State,Cost of Production C2 - 2013-14,Cost of Production C2 - 2014-15,Cost of Production C2 - 2015-16,Cost of Production C2 - 2016-17,Cost of Production C2 - 2017-18
Arhar,Andhra Pradesh,4701.06,6381.7,8938.88,6242.39,5236.58
Arhar,Bihar,1384.01,NA,NA,NA,2827.11
Arhar,Chhattisgarh,NA,NA,NA,NA,4590.02
Arhar,Gujarat,3889.45,4550.86,4437.12,3476.11,4419.14
Arhar,Karnataka,2829.99,3963.24,7187.47,3210.39,4089.62
Arhar,Madhya Pradesh,3058.02,4568.56,5144.49,3739.43,4315.66
Arhar,Maharashtra,2982.01,5715.19,5983.9,4166.22,4547.18
Arhar,Odisha,4218.35,6806.19,6723.38,6471.39,4441.2
Arhar,Tamil Nadu,NA,NA,NA,NA,6651.45
Arhar,Telangana,NA,NA,NA,NA,7122.16
Arhar,Uttar Pradesh,4717.69,4184.48,5391.53,4324.6,4261.47
Bajra,Gujarat,1075.78,1125.22,1270.11,1322.87,1191.41
Bajra,Haryana,1263.65,1487.42,1763.76,1423.25,1584.37
Bajra,Karnataka,1262.87,NA,NA,NA,NA
Bajra,Maharashtra,2004.97,2749.83,2702.56,1906.63,1921.22
Bajra,Rajasthan,1093.52,1149.16,1654.55,1290.01,1441.83
Bajra,Tamil Nadu,1132.77,NA,NA,NA,NA
Bajra,Uttar Pradesh,1152.23,1038.43,1129.53,1116.88,1230.33
Barley,Himachal Pradesh,NA,NA,NA,NA,4076.19
Barley,Rajasthan,826.47,1002.76,1024.98,1090.08,1375.52
Barley,Uttar Pradesh,1157.12,1450.72,1334.04,1272.91,1433.45
Cotton,Andhra Pradesh,4252.82,4661.68,5067.31,4544.69,4922.55
Cotton,Gujarat,3344.53,3659.32,3839.79,3933.8,3995.94
Cotton,Haryana,4182.82,5573.05,7053.7,4587.28,4747.42
Cotton,Karnataka,3680.53,4084.52,4895.39,4134.33,4519.14
Cotton,Madhya Pradesh,3119.2,5564.46,5585.01,5282.97,4077.25
Cotton,Maharashtra,4036.48,4631.87,4603.47,4354.92,5547.05
Cotton,Odisha,4094.65,6348.29,4957.41,4287.24,4342.62
Cotton,Punjab,4073.29,3890.58,7469.96,3988.15,4082.15
Cotton,Rajasthan,3930.1,3821.91,4070.84,4570.06,3988.94
Cotton,Tamil Nadu,5333.2,3770.22,3946.15,6707.83,6752.36
Cotton,Telangana,NA,NA,NA,NA,5802.69
Gram,Andhra Pradesh,3087.19,3085.18,4422.99,4141.94,4992.83
Gram,Bihar,2400.28,2389.66,2399.95,2406.59,2121.44
Gram,Chhattisgarh,2972.49,3101.72,4736.6,2971.81,3176.09
Gram,Gujarat,NA,NA,NA,NA,2438.55
Gram,Haryana,3346.17,3313.4,2879.84,4348.92,3419.45
